Date,Incident Narrative,Ground Truth
1/4/24,"Today, the Rapid Support militia committed a new crime in the village of (Kafi) and the city of (Tabit), where they killed the citizen Hamad Nour Al-Daim in the village of Kafi, and also killed the citizen Ramadan Issa in Tabit, and there were two injuries to two citizens.", Willful killing of civilians
1/21/24,"On 21 January 2024, a pro-SAF journalist  posted a video to X showing large fuel tanks on fire at the Khartoum Oil Refinery (aka Al Jili Oil Refinery). Both pro-RSF and pro-SAF individuals have said that the fires are a result of attacks on the refinery and they accused each other of targeting the facility. However, none of the two warring parties have responded officially to the allegations.  The same refinery had  already been targeted several times in the past, including in December 2023.",Damage or destruction of civilian critical infrastructure
1/31/24,"Since January 22, dozens of civilians have been trapped in Babanusa (West Kordofan) because of fighting between the Army and RSF that resulted in heavy casualties and widespread destruction in the town, closure of hospitals and markets, disruption of water supplies and communication lines.","Damage or destruction of civilian critical infrastructure,  Willful killing of civilians"
2/1/24,"On Thursday, February 1st, in the capital of North Darfur, El Fasher, violent artillery clashes opposed the Sudanese army and the Rapid Support Forces (RSF)  leaving at least 3 dead and 8 injured. El Fasher hosts many displaced civilians who fled the Darfur conflicts. The medical director of El Fasher Hospital, South Abdo Musa, confirmed to Sudan Tribune that the hospital received 5 fatalities and 21 wounded from the clashes. Beyond human casualties, the clashes resulted in significant damage to civilian infrastructure.","Indiscriminate use of weapons,  Damage or destruction of civilian critical infrastructure,  Military operations (battle,  shelling)"
2/1/24,"Gender-based violence incidents perpetrated in January 2024 by RSF militants and volunteers of the army reported by the Women’s Network of the Horn of Africa (SIHA), especially in in Al-Mafaza, a rural area in Gedaref State. About 180 cases of sexual violence were reported by SIHA whose Regional Director Hala Al-Karib declared:  “The documented patterns indicate sexual violence is being used as a weapon of war against civilians, particularly women and girls.” ",Gender-based or other conflict-related sexual violence
2/3/24,"On February 3rd, Boston-based Sudanese writer Mohamed Suliman reported mass-atrocities committed by militants of the RSF, including looting of homes, markets, and WFP warehouses, killings, kidnappings, targeted assassinations in Wad Madani, most of which were based on ethnicity.These massive attacks forced tens of thousands to flee the city."," Kidnapping,  Willful killing of civilians,  Persecution based on political,  racial,  ethnic,  gender,  or sexual orientation,  Damage or destruction,  looting,  or theft of cultural heritage?"
2/3/24,"Mohamed Suliman, a Boston-based Sudanese writer, reported on February 3rd the following: ""In Darfur, the Rapid Support Forces and the Arab militias they support launched an attack against the African tribes, specifically the Masalit; innocent civilians were raped and buried in mass graves in Ardamata and El Geneina. Reports have documented that the victims were labeled “slaves” by the militia fighters.The excessive use of force was deliberate, forcing the tribes to leave their territories, and amounted to ethnic cleansing. The militias’ campaign against the Masalit was led by six key commanders of the Arab-backed militias, who gave orders to carry out the attacks without mercy."" The governor of West Darfur, a member of the Massalit tribe, was kidnapped and executed. ","Willful killing of civilians,  Mass execution,  Gender-based or other conflict-related sexual violence,  Persecution based on political,  racial,  ethnic,  gender,  or sexual orientation,  Kidnapping"
2/4/24,"In downtown Omdurman, a clash on February 4 occurred where SAF caused extensive damage to RSF military equipment and caused at least ten fatalities to RSF militants","Movement of military,  paramilitary,  or other troops and equipment,  Military operations (battle,  shelling)"
2/4/24,"On Feb. 4th, the Sudanese Air Force intensified raids, on Sunday, on the positions of the Rapid Support Forces in Al-Jazirah State, while the two warring parties continued to exchange artillery shelling in Khartoum State.No civilian casualties reported but possible destruction of critical infrastructure.","Damage or destruction of civilian critical infrastructure,  Military operations (battle,  shelling)"
2/4/24,"A drone targets a group breakfast for the Al-Baraa Bin Malik Brigade, which is affiliated with the Armed Forces, in the city of Atbara. There are no details yet about the number of casualties.","Military operations (battle,  shelling)"
2/5/24,"On February 5, according to eyewitnesses, explosions were also heard in the neighborhoods of Riyadh, Taif, Mamoura, and Al-Jarif located east of the capital, as a result of air strikes launched by warplanes, targeting some positions of the RSF who  responded by firing ground-based anti-missiles","Movement of military,  paramilitary,  or other troops and equipment,  Military operations (battle,  shelling),  "
2/5/24,"The RSF is reported to control more and more territory (almost half of the country), and perpetrating violence against civilians. In response, civilians have been arming themselves to form self-defense groups, or are being armed by the Sudanese Armed Forces to protect themselves and fight the RSF. Thousands of people in el-Gezira, River Nile, North and South Kordofan, Kassala, Darfur, and other states, have armed themselves or been armed by the SAF to ward off RSF attacks.
The Army is also reported to be receiving support from rebel groups such as the Justice and Equality Movement (JEM) led by Gibril Ibrahim and the Sudanese Liberation Movement (SLM) faction headed by Minni Minnawi.
According to some leaders of the civilian political coalition, “figures connected to the Sudanese Islamic Movement (SIM) and the former administration of deposed autocrat Omar al-Bashir are using the situation as a way of returning to power.” 
“Multiple eyewitnesses in River Nile and Northern State said that groups connected to Sudan’s wider Islamic movement and associates of Bashir had been engaged in weapons distribution on behalf of the army.”
Some analysts fear that the Army’s mobilization of civilians might lead to ethnic-based polarization and a full-blown civil war. "," Movement of military,  paramilitary,  or other troops and equipment,  Persecution based on political,  racial,  ethnic,  gender,  or sexual orientation, "
2/5/24,"Disruption of internet and communication networks reported since Feb 2nd  across most of Sudan with government army and RSF accusing each other for being responsible for the disruption. However, according to Sudan Tribune, ""The cause of the outage remains unclear, with accusations flying between the Sudanese government and the Rapid Support Forces (RSF). The RSF, controlling areas where major infrastructure for Sudani and MTN-Sudan network operations reside, reportedly disrupted the network to protest the companies’ inaction on a communication issue affecting Darfur for months.""",Damage or destruction of civilian critical infrastructure
2/6/24,"Zain's telecommunications and Internet service returned for a short while to Port Sudan on February 5th after a day-long outage, while Sudani and MTN continued to be cut across the country for the third day.
On February 6th, Radio Dabanga reported that the Sudanese Telecommunications and Postal Regulatory Authority (TPRA) accused the Rapid Support Forces (RSF) of shutting down work at the data centers of the El Sudani and MTN providers since February 3rd.But the RSF denied any responsibility. Several media have reported have reported that the interruption of internet connection since February has increased the suffering of the civilian population who cannot access banks and rely on online money transfers to get cash.",Damage or destruction of civilian critical infrastructure
2/9/24,"Armed men reportedly affiliated with the Sudan People’s Liberation Movement-North (SPLM-N) under the leadership of Abdelaziz El Hilu launched an attack on Habila in South Kordofan and allegedly took control of the town on Friday. Over 3,000 people fled north of Habila, to an area near Kartala. 12 people were killed in tribal clashes in El Teital village in Habila locality in South Kordofan between Friday and Saturday. ","Indiscriminate use of weapons,  Military operations (battle,  shelling)"
